#Reference: http://www.sohu.com/a/71489272_127136
baidu.com 百度搜索引擎
qq.com 腾讯综合门户网站，视频聊天，交友
taobao.com 淘宝电子商务，网络零售，购物
sina.com.cn 新浪综合门户网站
youku.com 优酷视频分享
dgso.cn 稻谷搜索搜索引擎
sohu.com 搜狐综合门户网站
163.com 网易综合门户网站
hao123.com hao123网站导航
tudou.com 土豆网视频分享
pps.tv PPS网络电视，电影
xunlei.com 迅雷网络传输，影视
sogou.com 搜狗搜索引擎
4399.com 4399小游戏网页游戏，小游戏
56.com 我乐网视频分享
tmall.com 淘宝商场网上购物，在线B2C购物平台
ku6.com 酷6网视频分享
ifeng.com 凤凰网综合门户网站
7k7k.com 7k7k小游戏网页游戏，小游戏
soku.com SOKU搜库专业视频搜索
360.cn 360安全中心杀毒软件，安全产品及服务
so.com 360搜索搜索引擎
2345.com 2345网址导航 网址导航
qiyi.com 爱奇艺网络影视
taobao.com 淘宝网购物网站
alipay.com 支付宝在线支付
renren.com 人人网社交网络
sm.cn 神马搜索移动搜索引擎
zol.com.cn 中关村在线IT门户网站
pconline.com.cn 太平洋电脑网络IT门户网站
tianya.cn 天涯社区社区网络
paipai.com 拍拍网网上购物
dianping.com 大众点评m
cntv.cn 中国网络电视台网络电视
microsoft.com 微软公司Windows 系统
pptv.com PPTV网络影视
kugou.com 酷狗音乐音乐收听下载
joy.cn 激动网视频分享
96pk.com 96PK网页游戏
10086.cn 中国移动通信服务
pomoho.com 爆米花网视频分享
youdao.com 有道搜索引擎
58.com 58同城分类信息服务
xinhuanet.com 新华网新闻
letv.com 乐视网网络影视
wmdhw.com 唯美软件常用软件，从官方网站下载
mop.com 猫扑社区网络
m18.com 麦考林网上购物网上购物
douban.com 豆瓣网络社区
3366.com 3366网页游戏，小游戏
sdo.com 盛大在线游戏
live.com Windows-Live电子邮件，共享存储
people.com.cn 人民网新闻
alibaba.com 阿里巴巴集中服务全球进出口商的国际交易市场
kaixin001.com 开心网社交网络
hudong.com 互动百科百科信息
autohome.com.cn 汽车之家汽车网站
funshion.com 风行网网络影视
vancl.com 凡客诚品网上购物
126.com 126网易免费邮箱电子邮件
wushen.com 武神游戏
zqgame.com 中青宝网络游戏
6.cn 六间房视频分享
17173.com 17173网络游戏
xici.net 西祠胡同网络社区
soufun.com 搜房房地产信息
jiayuan.com 世纪佳缘婚介，交友
game2.cn 哥们网网页游戏
skycn.com 天空下载软件下载
china.com 中华网新闻综合
duowan.com 多玩游戏网络游戏
verycd.com VeryCD电驴大全分享下载
msn.comMSN.com 综合门户
chinaso.com 中国搜索搜索引擎
weather.com.cn 中国天气网天气服务
ganji.com 赶集网信息分类
tenpay.com 财付通在线支付
9ku.com 九酷音乐在线音乐
eastmoney.com 东方财富网财经资讯
ku6.com 酷六网 电影、视频
kuwo.cn 酷我音乐在线音乐收听下载
pingan.com 中国平安保险保险
666ccc.com 今生缘音乐在线音乐
wanmei.com 完美世界在线游戏
jd.com 京东商城网上购物
m1905.com 电影网网络影视
39.net39 健康网健康门户网站
adobe.com Adobe多媒体软件
51wan.com 我要玩网页游戏
wan5d.com 玩我的游戏
1ting.com 一听音乐网在线音乐
61.com 淘米网游戏
51.com51.com 真人配对玩游戏
dangdang.com 当当网网上购物
chinanews.com 中国新闻网新闻综合
news.cn 新华网新闻综合
ccb.com.cn 中国建设银行银行
95599.cn 中国农业银行银行
huanqiu.com 环球网新闻综合


#Reference: http://www.360doc.com/content/16/0129/07/59625_531382901.shtml
facebook.com 社交网络，让您和朋友保持联系
google.com 网络搜索引擎
youtube.com 在线上传、分享、观看视频的网站
yahoo.com 搜索引擎及平台
wikipedia.org 免费的网络百科全书平台
microsoft.com 购买微软产品，下载微软软件及更新的网站
msn.com 微软自有互联网信息的集合
blogger.com 博客平台
ask.com 搜索引擎
twitter.com 实时通信平台
bing.com 网络搜索引擎
apple.com 苹果产品、软件，在线浏览、选购网站
wordpress.com 博客平台
amazon.com 网上购物


